Scraped_Date,Scraped_Time,brand,brandless_name,product_id,product_name,skus,display_name,auto_delivery_price,recommended_retail_price,rrp_discount_price,single_order_price
02/15/2023, 14:55:45,Royal Canin Veterinary Diet,Canin Veterinary Neutered Junior Medium Dry Dog Food,royal-canin-veterinary-neutered-junior-medium-dry-dog-food,Royal Canin Veterinary Neutered Junior Medium Dry Dog Food,RCV14523,10kg,112.1,142.0,17,117.99
02/15/2023, 14:55:45,Ivory Coat,Grain Free Wet Dog Food Adult Beef Stew,ivory-coat-grain-free-wet-dog-food-adult-beef-stew,Ivory Coat Grain Free Wet Dog Food Adult Beef Stew,IC107814,12 x400g,50.39,53.04,0,53.04
02/15/2023, 14:55:45,Ivory Coat,Grain Free Wet Dog Food Adult Beef Stew,ivory-coat-grain-free-wet-dog-food-adult-beef-stew,Ivory Coat Grain Free Wet Dog Food Adult Beef Stew,IC107814MS,12 x 12 x400g,604.66,636.48,0,636.48
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Beef Green Beans And Red Peppers Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-beef-green-beans-and-red-peppers-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Beef Green Beans And Red Peppers Wet Dog Food,W10455MS,12 x 85g,40.62,40.62,0,40.62
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Beef Green Beans And Red Peppers Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-beef-green-beans-and-red-peppers-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Beef Green Beans And Red Peppers Wet Dog Food,W10455,85g,40.68,40.68,0,40.68
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Beef Green Beans And Red Peppers Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-beef-green-beans-and-red-peppers-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Beef Green Beans And Red Peppers Wet Dog Food,W10455MSVO2X,2 x 12 x 85g,79.62,81.24,2,79.62
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Duck Peas And Carrots Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-duck-peas-and-carrots-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Duck Peas And Carrots Wet Dog Food,W10453MS,12 x 85g,40.62,40.62,0,40.62
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Duck Peas And Carrots Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-duck-peas-and-carrots-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Duck Peas And Carrots Wet Dog Food,W10453,85g,40.68,40.68,0,40.68
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Duck Peas And Carrots Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-duck-peas-and-carrots-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Duck Peas And Carrots Wet Dog Food,W10453MSVO2X,2 x 12 x 85g,79.62,81.24,2,79.62
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Turkey Carrots And Green Beans Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-turkey-carrots-and-green-beans-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Turkey Carrots And Green Beans Wet Dog Food,W10454MS,12 x 85g,40.62,40.62,0,40.62
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Turkey Carrots And Green Beans Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-turkey-carrots-and-green-beans-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Turkey Carrots And Green Beans Wet Dog Food,W10454,85g,40.68,40.68,0,40.68
02/15/2023, 14:55:45,Wellness,Core Savoury Medleys Flavoured With Chicken Turkey Carrots And Green Beans Wet Dog Food,wellness-core-savoury-medleys-flavoured-with-chicken-turkey-carrots-and-green-beans-wet-dog-food,Wellness Core Savoury Medleys Flavoured With Chicken Turkey Carrots And Green Beans Wet Dog Food,W10454MSVO2X,2 x 12 x 85g,79.62,81.24,2,79.62
02/15/2023, 14:55:45,Pro Plan,Sensitive Skin With Optiderma Adult Medium And Large Breed Dry Dog Food,pro-plan-sensitive-skin-with-optiderma-adult-medium-and-large-breed-dry-dog-food,Pro Plan Sensitive Skin With Optiderma Adult Medium And Large Breed Dry Dog Food,NP12284779,12kg,131.99,154.99,15,131.99
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,N04904MS,4 x 3.5kg,13.26,17.95,22,13.95
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,12313852,3kg,13.73,14.95,3,14.45
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,N04904,3.5kg,15.54,17.95,9,16.35
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,N12309016,7.5kg,31.83,34.5,3,33.5
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,N06911,12kg,37.96,57.95,31,39.95
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,N03681,18kg,47.46,59.95,17,49.95
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,MS12313852,4 x 3kg,53.01,59.8,7,55.8
02/15/2023, 14:55:45,Supercoat,Dry Dog Food Large Breed Adult Chicken,supercoat-dry-dog-food-large-breed-adult-chicken,Supercoat Dry Dog Food Large Breed Adult Chicken,12309023,18kg,66.5,77.0,9,70.0
02/15/2023, 14:55:45,Zealandia,Grain Free Beef Pate Wet Dog Food,zealandia-grain-free-beef-pate-wet-dog-food,Zealandia Grain Free Beef Pate Wet Dog Food,ZLD2436,12 x 385g,89.88,89.88,0,89.88
02/15/2023, 14:55:45,Acana,Free Run Poultry Dry Dog Food,acana-free-run-poultry-dry-dog-food,Acana Free Run Poultry Dry Dog Food,ACAH1457,2kg,54.95,54.95,0,54.95
02/15/2023, 14:55:45,Acana,Free Run Poultry Dry Dog Food,acana-free-run-poultry-dry-dog-food,Acana Free Run Poultry Dry Dog Food,ACAH1259,11.4kg,184.95,184.95,0,184.95
02/15/2023, 14:55:45,Black Hawk,Dry Dog Food Large Breed Puppy Chicken And Rice,black-hawk-dry-dog-food-large-breed-puppy-chicken-and-rice,Black Hawk Dry Dog Food Large Breed Puppy Chicken And Rice,BH04042,10kg,77.4,87.99,2,86.0
02/15/2023, 14:55:45,Black Hawk,Dry Dog Food Large Breed Puppy Chicken And Rice,black-hawk-dry-dog-food-large-breed-puppy-chicken-and-rice,Black Hawk Dry Dog Food Large Breed Puppy Chicken And Rice,BH03981,20kg,114.3,140.99,10,126.99
