Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
02/08/2023, 16:40:42,Prime100 SPD Air Dried Chicken and Brown Rice Dry Dog Food,prime100-spd-air-chicken-and-brown-rice-dry-dog-food,SPD Air,6835888554120,100000060295,9340710001906,600g,39.98,Available
02/08/2023, 16:40:42,Wellness Core Grain Free Original Formula Dry Dog Food,wellness-core-grain-free-original-formula-dry-dog-food,WELLNESS CORE,6662242730120,100000020371,076344884088,1.8kg,50.49,Available
02/08/2023, 16:40:42,Wellness Core Grain Free Original Formula Dry Dog Food,wellness-core-grain-free-original-formula-dry-dog-food,WELLNESS CORE,6662242730120,100000020378,076344884033,11.8kg,172.00,Available
02/08/2023, 16:40:42,ROYAL CANIN VETERINARY DIET Diabetic Adult Dry Dog Food,royal-canin-veterinary-diet-diabetic-adult-dry-dog-food-1,Royal Canin VET,6661390073992,100000023585,3182550798945,1.5kg,43.98,Out of Stock
02/08/2023, 16:40:42,ROYAL CANIN VETERINARY DIET Diabetic Adult Dry Dog Food,royal-canin-veterinary-diet-diabetic-adult-dry-dog-food-1,Royal Canin VET,6661390073992,100000023586,3182550799140,7kg,150.00,Out of Stock
02/08/2023, 16:40:42,ROYAL CANIN VETERINARY DIET Neutered Adult Medium Dog Dry Food,royal-canin-veterinary-diet-neutered-adult-medium-dog-dry-food,Royal Canin VET,6660946002056,100000074336,3182550925204,9kg,127.00,Out of Stock
02/08/2023, 16:40:42,ROYAL CANIN VETERINARY DIET Neutered Adult Medium Dog Dry Food,royal-canin-veterinary-diet-neutered-adult-medium-dog-dry-food,Royal Canin VET,6660946002056,123012000056,3182550761840,3.5kg,60.98,Out of Stock
02/08/2023, 16:40:42,ROYAL CANIN VETERINARY DIET Neutered Adult Medium Dog Dry Food,royal-canin-veterinary-diet-neutered-adult-medium-dog-dry-food,Royal Canin VET,6660946002056,123012000057,3182550761857,10kg,119.99,Out of Stock
02/08/2023, 16:40:42,Pro Plan Bright Mind Medium &amp; Large 7+ Senior Dry Dog Food,pro-plan-bright-mind-medium-large-7-senior-dry-dog-food,Pro Plan,6662150750344,100000001411,9300605117402,12kg,157.00,Out of Stock
02/08/2023, 16:40:42,Pro Plan Bright Mind Medium &amp; Large 7+ Senior Dry Dog Food,pro-plan-bright-mind-medium-large-7-senior-dry-dog-food,Pro Plan,6662150750344,100000001412,9300605117419,2.50kg,54.20,Out of Stock
02/08/2023, 16:40:42,Advance Weight Control Adult Chicken Dry Dog Food,advance-adult-weight-control-chicken-dry-dog-food,Advance,6661276762248,122711000046,9310022566509,2.50kg,46.05,Available
02/08/2023, 16:40:42,Advance Weight Control Adult Chicken Dry Dog Food,advance-adult-weight-control-chicken-dry-dog-food,Advance,6661276762248,122711000061,9310022572708,13kg,153.00,Available
02/08/2023, 16:40:42,Meals For Mutts Grain Free Adult Duck &amp; Turkey Dry Dog Food,meals-for-mutts-grain-free-adult-duck-dry-dog-food,MEALS FOR MUTTS,6661122130056,100000003420,680569853073,20kg,174.00,Out of Stock
